year,month,product,category,sub_category,qty ,unit_cost_price,unit_sale_price,total_cost_price,total_sale_price,gross_profit,margin
2021,NOV_21,BETAFEN IBUPROFEN SYR 100ml,OTC,ANALGESIC,3,6.46,9,19.38,27,7.62,28.2
2021,NOV_21,BIOFERON 200ML SYRUP,OTC,VITAMINS,4,17.94,25,71.76,100,28.24,28.2
2021,NOV_21,BIOFERON CAPS,OTC,VITAMINS,1,17.49,24,17.49,24,6.51,27.1
2021,NOV_21,BISACODYL (NOV_21OLAX) 5MG TABS,OTC,GI_LAX,2,0.34,0.5,0.68,1,0.32,32
2021,NOV_21,BLUMOON 100mg,OTC,SEX_HEALTH_M,2,3.5,5,7,10,3,30
2021,NOV_21,BONAPLEX SYRUP,OTC,VITAMINS,1,14.9,21,14.9,21,6.1,29
2021,NOV_21,BONJELA JUNIOR GEL 15G,OTC,PERSONAL_CARE_DENT,1,36.22,10,36.22,10,-26.22,-262.2
2021,NOV_21,BONNISAN GRIPE WATER LIQUID,OTC,MOTHER_BABY,1,11.28,16,11.28,16,4.72,29.5
2021,NOV_21,BORGES OLIVE OIL 125ML,OTC,FOOD,3,11,15,33,45,12,26.7
2021,NOV_21,CALPOL 6YRS+ SYR 80ML,OTC,COUGH_COLD_PED,1,29.98,40,29.98,40,10.02,25.1
2021,NOV_21,CALPOL INFANT 2+ MONTHS SYR 100,OTC,COUGH_COLD_PED,3,33.98,47,101.94,141,39.06,27.7
2021,NOV_21,CANDIDERM CREAM 15G,OTC,PERSONAL_CARE_F,3,7.84,11,23.52,33,9.48,28.7
2021,NOV_21,CANESTEN CREAM 20G,OTC,PERSONAL_CARE_F,1,22.9,32,22.9,32,9.1,28.4
2021,NOV_21,CARESTART MALARIA TEST,OTC,DIAGNOSTICS_MALA,18,9,10,162,180,18,10
2021,NOV_21,CATAFLAM DICLOFENAC TABS 50MG,RX,ANALGESIC,10,1.29,1.8,12.9,18,5.1,28.3
2021,NOV_21,CELEBREX CELECOXIB CAPS 200MG 1,RX,ANALGESIC,10,5.4,7.3,54.01,73,18.99,26
2021,NOV_21,CETAPOL SYRUP,OTC,ANALGESIC,2,3.9,6,7.8,12,4.2,35
2021,NOV_21,CETAPOL SYRUP,OTC,ANALGESIC,3,3.9,5.5,11.7,16.5,4.8,29.1
2021,NOV_21,CETIRIZINE RHIZIN 30ML SYR,OTC,ALLERGY,6,2.67,4,16.02,24,7.98,33.3
2021,NOV_21,CHAPSTICK,OTC,PERSONAL_CARE,1,4,3,4,3,-1,-33.3
2021,NOV_21,CHLORAMPHENICOL EYE DROP 10ML,OTC,EYE,2,1.7,3,3.4,6,2.6,43.3
2021,NOV_21,CIPROLEX EYE/EAR DROP,RX,ANTI_INFECTION_EYE_EAR,1,9,12.5,9,12.5,3.5,28
2021,NOV_21,CIPROLEX TAB 500MG,RX,ANTI_INFECTION,10,1,1.4,10,14,4,28.6
2021,NOV_21,CIPROLEX TZ TABS,RX,ANTI_INFECTION,3,18,25,54,75,21,28
2021,NOV_21,CITRO C 100MG 25'S A EFAH,OTC,VITAMINS,73,1.36,2,99.37,146,46.63,31.9
2021,NOV_21,CITRO C 100MG 25'S A EFAH,OTC,VITAMINS,19,1.36,2,25.85,38,12.15,32
2021,NOV_21,CLARITINE 30'S 10MG BAYER,OTC,ALLERGY,19,4.33,5.8,82.27,110.2,27.93,25.3
2021,NOV_21,CLARITINE 30'S 10MG BAYER,OTC,ALLERGY,7,4.33,5.8,30.31,40.6,10.29,25.3
2021,NOV_21,CLEAR INHALER,OTC,COUGH_COLD,2,2.25,3.5,4.5,7,2.5,35.7
2021,NOV_21,CLOTRI-DENK CREAM 20GM,OTC,PERSONAL_CARE_F,2,18.21,25,36.42,50,13.58,27.2
2021,NOV_21,COARTEM 20/120 mg 18 TABS,RX,ANTI_MALARIAL,2,21.78,30,43.56,60,16.44,27.4
2021,NOV_21,COARTEM 80/480MG,RX,ANTI_MALARIAL,6,35.8,50,214.8,300,85.2,28.4
2021,NOV_21,CO-CODAMOL TABS 30/500 MG,RX,ANALGESIC,43,0.37,0.5,15.82,21.5,5.68,26.4
2021,NOV_21,COKE PLASTIC 300ML,OTC,FOOD,1,2.25,3,2.25,3,0.75,25
2021,NOV_21,COKE PLASTIC 300ML,OTC,FOOD,11,2.25,2,24.75,22,-2.75,-12.5
2021,NOV_21,COLDRILIF CAPS,OTC,COUGH_COLD,5,3.4,5,17,25,8,32
2021,NOV_21,COLDRILIF CAPS,OTC,COUGH_COLD,13,3.4,5,44.2,65,20.8,32
2021,NOV_21,COLDRILIF SYRUP,OTC,COUGH_COLD,5,5.29,7.5,26.45,37.5,11.05,29.5
2021,NOV_21,COLGATE HERBAL T/PASTE,OTC,PERSONAL_CARE_DENT,1,8,10,8,10,2,20
2021,NOV_21,COLGATE TOTAL 170ml,OTC,PERSONAL_CARE_DENT,1,20,25,20,25,5,20
2021,NOV_21,COLODIUM LOPERAMIDE,OTC,GI_ANTIDIARRHOEAL,11,1.8,2.5,19.8,27.5,7.7,28
2021,NOV_21,COMIT 50MG TABS GVBLISS,RX,SEX_HEALTH_M,5,9,13,45,65,20,30.8
2021,NOV_21,CONGESTYL TABS 12'S,OTC,COUGH_COLD,7,5.57,8.07,39,56.5,17.5,31
2021,NOV_21,COTTON WOOL 100G,OTC,PERSONAL_CARE,1,4.2,6,4.2,6,1.8,30
2021,NOV_21,COTTON WOOL 25G,OTC,PERSONAL_CARE,1,1.6,2.5,1.6,2.5,0.9,36
2021,NOV_21,COTTON WOOL 500G,OTC,PERSONAL_CARE,1,13.75,19,13.75,19,5.25,27.6
2021,NOV_21,COTTON WOOL 50G,OTC,PERSONAL_CARE,3,2.7,4,8.1,12,3.9,32.5
2021,NOV_21,CYPRODINE SYRUP,OTC,VITAMINS,1,26,36,26,36,10,27.8
2021,NOV_21,DAONIL 5 MG TABS,RX,ANTI_DIABETIC,30,0.5,0.7,15,21,6,28.6
2021,NOV_21,DECATYLEN LOZENGES 20'S,OTC,COUGH_COLD,25,1.25,1.8,31.25,45,13.75,30.6
2021,NOV_21,DEEP HEAT 15G,OTC,ANALGESIC,2,9.35,13,18.7,26,7.3,28.1
2021,NOV_21,DICLO DENK RETARD 100MG 100'S,RX,ANALGESIC,14,10.36,14.5,145.04,203,57.96,28.6
2021,NOV_21,DICLO-DENK SUPP 100MG,RX,ANALGESIC,70,1.87,2.6,130.76,182,51.24,28.2
2021,NOV_21,DICLO-DENK SUPP 100MG,RX,ANALGESIC,10,1.87,2.6,18.68,26,7.32,28.2
2021,NOV_21,DICLOLEX POWER HEAT GEL,OTC,ANALGESIC,4,6,8.5,24,34,10,29.4
2021,NOV_21,DIFLUCAN CAP 150MG FLUCONAZOLE,RX,ANTI_INFECTION,2,80,100,160,200,40,20
2021,NOV_21,DOMI-30 DOMPERIDONE SUPP,RX,GI_NV,4,2.16,3,8.64,12,3.36,28
2021,NOV_21,DOXYCIL 100mg 10's,RX,ANTI_INFECTION,10,0.15,0.25,1.5,2.5,1,40
2021,NOV_21,DRAGON DELAY SPRAY 12ML RENIE,OTC,SEX_HEALTH_U,4,19.9,28,79.6,112,32.4,28.9
2021,NOV_21,DRAGON TADALAFIL 20MG TAB,RX,SEX_HEALTH_M,15,4.23,6,63.38,90,26.62,29.6
2021,NOV_21,DREZ POWDER 10G,OTC,FIRST_AID_INF,2,6.5,9,13,18,5,27.8
2021,NOV_21,DREZ SOLUTION 100ML STEDMAN,OTC,FIRST_AID_INF,2,13.29,18,26.58,36,9.42,26.2
2021,NOV_21,DUROL TONIC 200ML,OTC,VITAMINS,4,7,10,28,40,12,30
2021,NOV_21,DYNAREX DIGITAL THERMOMETER,OTC,DIAGNOSTICS_GEN,1,20,25,20,25,5,20
2021,NOV_21,DYNEWELL SYR,OTC,VITAMINS,2,2.85,4,5.7,8,2.3,28.8
2021,NOV_21,DYNEWELL TAB,OTC,VITAMINS,11,0.2,0.5,2.2,5.5,3.3,60
2021,NOV_21,EFPAC TABS,OTC,ANALGESIC,27,1.17,1.7,31.59,45.9,14.31,31.2
2021,NOV_21,ENAFEN IBUPROFEN 400MG 50'S ECL,RX,ANALGESIC,11,1.2,2,13.2,22,8.8,40
2021,NOV_21,E-PANOL SYR,OTC,ANALGESIC,1,3.49,5,3.49,5,1.51,30.2
2021,NOV_21,EPIDERM CREAM 15G SHALINA,OTC,ANALGESIC,2,2.25,3.5,4.5,7,2.5,35.7
2021,NOV_21,EXAMINATION GLOVES 100'S,OTC,PERSONAL_CARE,34,0.58,0.8,19.72,27.21,7.49,27.5
2021,NOV_21,EXFORGE 10MG/160MG TABS,RX,ANTI_DIABETIC,2,4.59,6.2,9.17,12.4,3.23,26
2021,NOV_21,EXFORGE 5MG/160MG 28'S,RX,ANTI_DIABETIC,14,4.2,5.5,58.8,77,18.2,23.6
2021,NOV_21,FANTA ORANGE PLASTIC 300ML,OTC,ANALGESIC,4,2.33,3,9.32,12,2.68,22.3
2021,NOV_21,FENBASE EXTRA,OTC,ANALGESIC,12,2.02,3,24.23,36,11.77,32.7
2021,NOV_21,FEROGLOBIN CAPS 30 VITABIOTICS,OTC,VITAMINS,2,35.54,49,71.08,98,26.92,27.5
2021,NOV_21,FEROGLOBIN CAPS 30 VITABIOTICS,OTC,VITAMINS,1,35.54,49,35.54,49,13.46,27.5
2021,NOV_21,FEROGLOBIN SYR 200ML VITABIOTIC,OTC,VITAMINS,1,33.02,46,33.02,46,12.98,28.2
2021,NOV_21,FIESTA CONDOM 3'S,OTC,SEX_HEALTH_M,5,2.5,4,12.5,20,7.5,37.5
2021,NOV_21,FISHERMAN'S FRIEND LOZENGES,OTC,COUGH_COLD,2,5.66,8,11.32,16,4.68,29.3
2021,NOV_21,FLAGENTYL SECNIDAZOLE TAB 500MG,RX,ANTI_HELMINTIC,1,22,29,22,29,7,24.1
2021,NOV_21,FLEMEX JUNIOR SYRUP,OTC,COUGH_COLD_PED,3,6.2,8.5,18.6,25.5,6.9,27.1
2021,NOV_21,FLUCONAZOLE 150MG CAPS UK,RX,ANTI_INFECTION,5,6.5,10,32.5,50,17.5,35
2021,NOV_21,FLUCONAZOLE 150MG CAPS UK,RX,ANTI_INFECTION,3,5.13,8,15.39,24,8.61,35.9
2021,NOV_21,FLUREST TABS,OTC,COUGH_COLD,1,12,15,12,15,3,20
2021,NOV_21,FLUREST TABS,OTC,COUGH_COLD,5,9.3,13,46.5,65,18.5,28.5
2021,NOV_21,FLUXAMOX 500 CAPSULES 200'S,RX,ANTI_INFECTION,120,0.43,0.6,52.14,72,19.86,27.6
2021,NOV_21,FOLIC ACID 5MG TAB UK,OTC,VITAMINS,2,7.5,11,15,22,7,31.8
2021,NOV_21,FOLIC ACID TAB 1000'S pharma,OTC,VITAMINS,9,0.26,0.4,2.37,3.6,1.23,34.2
2021,NOV_21,FOXITIL 250MG TAB,RX,ANTI_INFECTION,1,13.5,19,13.5,19,5.5,28.9
2021,NOV_21,FUNBACT-A TRIPLE ACTION CREAM 3,OTC,FIRST_AID_INF,11,7,10,77,110,33,30
2021,NOV_21,GALVUS MET 50/1000MG TABS 60'S,RX,ANTI_DIABETIC,20,2.67,3.6,53.34,72.01,18.67,25.9
2021,NOV_21,GANA BALM,OTC,ANALGESIC,2,3.3,5,6.6,10,3.4,34
2021,NOV_21,GASTRONE TABS 100'S ERNEST,OTC,GI_HEARTBURN_ANTACID,2,1.17,1.6,2.34,3.2,0.86,26.9
2021,NOV_21,GAUZE BANDAGE 4'',OTC,FIRST_AID,11,0.71,1,7.81,11,3.19,29
2021,NOV_21,"GAUZE BANDAGE 6""",OTC,FIRST_AID,29,0.92,1.4,26.62,40.6,13.98,34.4
2021,NOV_21,GAUZE SINGLES SMALL,OTC,FIRST_AID,5,0.8,1,4,5,1,20
2021,NOV_21,GEBEDOL EXTRA TABS,OTC,ANALGESIC,35,2.3,3.5,80.54,122.5,41.96,34.3
2021,NOV_21,GEBEDOL FORTE TABS,OTC,ANALGESIC,13,1.67,2.5,21.71,32.5,10.79,33.2
2021,NOV_21,GEBEDOL TABS,OTC,ANALGESIC,15,1.1,1.5,16.51,22.5,5.99,26.6
2021,NOV_21,GEBEDOL TABS,OTC,ANALGESIC,53,1.1,1.5,58.39,79.5,21.11,26.6
2021,NOV_21,GEN M SUSPENSION,OTC,ANTI_MALARIAL,2,15.5,22,31,44,13,29.5
2021,NOV_21,GENTAMYCIN E/E DROPS LOCAL,RX,ANTI_INFECTION_EYE_EAR,4,1.9,3,7.6,12,4.4,36.7
2021,NOV_21,GENTIAN VIOLET PAINTS 60ML,OTC,FIRST_AID,3,1.5,3,4.5,9,4.5,50
2021,NOV_21,GENTIAN VIOLET PAINTS 60ML,OTC,FIRST_AID,7,1.39,2.5,9.73,17.5,7.77,44.4
2021,NOV_21,GIVERS KOO CAPSULES CAPS GIVERS,OTC,HERBAL,2,17,24,34,48,14,29.2
2021,NOV_21,GIVERS POWER CAPS,OTC,HERBAL,5,17,24,85,120,35,29.2
2021,NOV_21,GOODSENSE DENTAL FLOSS,OTC,PERSONAL_CARE_DENT,1,8,12,8,12,4,33.3
2021,NOV_21,GYNO-MYCOLEX PESS 400MG 3'S,OTC,PERSONAL_CARE_F,1,13.9,19,13.9,19,5.1,26.8
2021,NOV_21,GYPRONE PLUS,OTC,VITAMINS,1,1.8,3,1.8,3,1.2,40
2021,NOV_21,HAEMOGLOBIN 200ML SYRUP (LETAP),OTC,VITAMINS,3,2.97,4.5,8.91,13.5,4.59,34
2021,NOV_21,HAEMOGLOBIN SYRUP 200ML (M&G),OTC,VITAMINS,4,4.45,7,17.8,28,10.2,36.4
2021,NOV_21,HEPTOPEP SYRUP,OTC,VITAMINS,4,14.08,20,56.32,80,23.68,29.6
2021,NOV_21,HISTAZINE 10MG TABS,OTC,ALLERGY,5,0.5,1,2.51,5,2.49,49.8
2021,NOV_21,HYDROCORTISONE CREAM 1% 30G UK,OTC,ALLERGY,4,16.89,24,67.56,96,28.44,29.6
2021,NOV_21,HYDROGEN PEROXIDE 200ML MAL-TIT,OTC,PERSONAL_CARE_DENT,2,3,4.5,6,9,3,33.3
2021,NOV_21,HYDROGEN PEROXIDE B.P 200ML ECL,OTC,PERSONAL_CARE_DENT,3,4.69,6.5,14.07,19.5,5.43,27.8
2021,NOV_21,IBUCAP 10 TABS,OTC,ANALGESIC,1,1.53,2.5,1.53,2.5,0.97,38.8
2021,NOV_21,IBUCAP 20 TABS,OTC,ANALGESIC,4,1.74,4,6.96,16,9.04,56.5
2021,NOV_21,imax herbal delay spray 18ml,OTC,SEX_HEALTH_U,1,22,31,22,31,9,29
2021,NOV_21,IMBOOST HERBAL MIXTURE,OTC,HERBAL,7,13,18,91,126,35,27.8
2021,NOV_21,INFA V VAGINAL PESSARIES,OTC,PERSONAL_CARE_F,1,19,26,19,26,7,26.9
2021,NOV_21,INOXIME CEFIXIME TABS 200MG 10',RX,ANTI_INFECTION,30,0.8,1.1,24,33,9,27.3
2021,NOV_21,JOY OINTMENT CREAM,OTC,PERSONAL_CARE_F,8,2.3,3.5,18.4,28,9.6,34.3
2021,NOV_21,KAMACLOX MOUTHWASH,OTC,PERSONAL_CARE_DENT,2,8.43,12,16.86,24,7.14,29.8
2021,NOV_21,KETAZOL KETOCONAZOLE CREAM,OTC,ANTI_INFECTION,3,5.1,7,15.3,21,5.7,27.1
2021,NOV_21,KIDICS SYRUP 200ML,OTC,VITAMINS_PED,1,9.5,13.5,9.5,13.5,4,29.6
2021,NOV_21,KISS CONDOM,OTC,SEX_HEALTH_M,7,1.1,2,7.7,14,6.3,45
2021,NOV_21,KLOVINAL VAGINAL PESS.,OTC,PERSONAL_CARE_F,2,19,28,38,56,18,32.1
2021,NOV_21,KOFFEX ADULT SYRUP,OTC,COUGH_COLD,1,4.5,7,4.5,7,2.5,35.7
2021,NOV_21,KOFLET SYR. 100ML,OTC,COUGH_COLD,5,12.89,18,64.45,90,25.55,28.4
2021,NOV_21,KWIK ACTION TABS KINAPHARMA,OTC,ANALGESIC,14,0.71,1,9.94,14,4.06,29
2021,NOV_21,LACLOSE LACTULOSE 100ML LIQUID,OTC,GI_LAX,1,16.24,22,16.24,22,5.76,26.2
2021,NOV_21,LENOR 1.5MG TABS,OTC,SEX_HEALTH_F,12,4.5,6.5,54,78,24,30.8
2021,NOV_21,LETAVIN 500mg TABS,RX,ANTI_INFECTION,4,4.2,6,16.8,24,7.2,30
2021,NOV_21,LETAVIN 500mg TABS,RX,ANTI_INFECTION,6,4.2,6,25.2,36,10.8,30
2021,NOV_21,LEVON 2 TABS,OTC,SEX_HEALTH_F,4,5.98,8.5,23.92,34,10.08,29.6
2021,NOV_21,LEXOTANIL TABS 1.5MG 30'S,RX,BENZO,5,1.27,1.7,6.35,8.5,2.15,25.3
2021,NOV_21,LIQUFRUTA SYRUP 200ML,OTC,COUGH_COLD,1,22.98,32,22.98,32,9.02,28.2
2021,NOV_21,LISINOPRIL 5MG UK,RX,CARDIO,28,0.22,0.3,6.16,8.44,2.28,27
2021,NOV_21,LISTERINE MOUTHWASH 250ML,OTC,PERSONAL_CARE_DENT,1,16,22,16,22,6,27.3
2021,NOV_21,LIVING BITTERS CAPS 30'S,OTC,HERBAL,1,18,25,18,25,7,28
2021,NOV_21,LOFNAC GEL 30G,RX,ANALGESIC,1,5.1,7,5.1,7,1.9,27.1
2021,NOV_21,LOFNAC SUPP 100MG,RX,ANALGESIC,10,0.9,1.5,9,15,6,40
2021,NOV_21,LONART DS TABS 80MG/480MG,OTC,ANTI_MALARIAL,5,15.3,22,76.5,110,33.5,30.5
2021,NOV_21,LONART DS TABS 80MG/480MG,OTC,ANTI_MALARIAL,10,15.3,22,153,220,67,30.5
2021,NOV_21,LONART SUSP 60ML,OTC,ANTI_MALARIAL,2,10.81,15,21.62,30,8.38,27.9
2021,NOV_21,LUEX BABY CHESTY COUGH SYRUP 10,OTC,COUGH_COLD_PED,1,7,10,7,10,3,30
2021,NOV_21,LUFART DS TABS,OTC,ANTI_MALARIAL,12,11.8,17,141.6,204,62.4,30.6
2021,NOV_21,LUMETRUST FORTE 80/480 mg,OTC,ANTI_MALARIAL,5,6.5,9,32.5,45,12.5,27.8
2021,NOV_21,LYDIA POST PILL TABS,OTC,SEX_HEALTH_F,14,6.5,10,91,140,49,35
2021,NOV_21,LYDIA POST PILL TABS,OTC,SEX_HEALTH_F,25,6.5,10,162.5,250,87.5,35
2021,NOV_21,MAGACID tabs,OTC,GI_HEARTBURN_ANTACID,7,0.7,1,4.9,7,2.1,30
2021,NOV_21,MAJOR EPHEDRINE NASAL DROPS,OTC,COUGH_COLD,3,6.73,9.5,20.19,28.5,8.31,29.2
2021,NOV_21,MALTA GUINESS 330ML DRINK,OTC,FOOD,21,3.14,4,65.94,84,18.06,21.5
2021,NOV_21,MARK II INHALER 6'S,OTC,COUGH_COLD,11,6.6,9,72.6,99,26.4,26.7
2021,NOV_21,MENTHODEX 100ML,OTC,COUGH_COLD,2,12,16.5,24,33,9,27.3
2021,NOV_21,MENTHODEX 200ML,OTC,COUGH_COLD,1,20,27.5,20,27.5,7.5,27.3
2021,NOV_21,MENTHODEX 200ML,OTC,COUGH_COLD,4,20,27.5,80,110,30,27.3
2021,NOV_21,MENTHOX COUGH LOZENGES,OTC,COUGH_COLD,5,0.49,0.8,2.45,4,1.55,38.8
2021,NOV_21,METAGYL METRONIDAZOLE 200MG TAB,RX,ANTI_INFECTION,10,0.09,0.15,0.9,1.5,0.6,40
2021,NOV_21,METAGYL METRONIDAZOLE 400MG TAB,RX,ANTI_INFECTION,151,0.1,0.2,14.71,30.2,15.49,51.3
2021,NOV_21,METFORMIN-DENK 500MG,RX,ANTI_DIABETIC,20,0.47,0.65,9.4,13,3.6,27.7
2021,NOV_21,METHYLATED SPIRIT 125ML,OTC,PERSONAL_CARE,1,4.61,6.5,4.61,6.5,1.89,29.1
2021,NOV_21,METHYLATED SPIRIT 200ML,OTC,PERSONAL_CARE,5,3.5,5,17.5,25,7.5,30
2021,NOV_21,METHYLATED SPIRIT 60ML,OTC,PERSONAL_CARE,7,1.5,3,10.5,21,10.5,50
2021,NOV_21,METROLEX F SUSP 100ML,RX,ANTI_INFECTION,4,11.9,17,47.6,68,20.4,30
2021,NOV_21,METROLEX F TABS,RX,ANTI_INFECTION,2,9,12.5,18,25,7,28
2021,NOV_21,METRONIDAZOLE TABS 400MG UK,RX,ANTI_INFECTION,2,6.59,9,13.18,18,4.82,26.8
2021,NOV_21,MIST SENNACO 200ML,OTC,GI_LAX,12,2.5,3.5,30,42,12,28.6
2021,NOV_21,MIST TRISILICATE SYR,OTC,GI_HEARTBURN_ANTACID,2,2.5,3.5,5,7,2,28.6
2021,NOV_21,MR Q PACK QULOUN,OTC,SEX_HEALTH_M,41,3.8,5.5,155.8,225.5,69.7,30.9
2021,NOV_21,MUCOLEX ADULT EXPECTORANT 125ML,OTC,COUGH_COLD,3,12.9,17.5,38.7,52.5,13.8,26.3
2021,NOV_21,MULTIVITAMINE TAB LOCAL,OTC,VITAMINS,24,0.15,0.3,3.6,7.2,3.6,50
2021,NOV_21,MYCOVIN 125MG TAB,RX,ANTI_INFECTION,2,1.14,1.5,2.28,3,0.72,24
2021,NOV_21,MYCOVIN 500MG TABS,RX,ANTI_INFECTION,1,5.2,7,5.2,7,1.8,25.7
2021,NOV_21,NAKLOFEN DUO 75MG,RX,ANALGESIC,45,1.65,2.3,74.18,103.5,29.32,28.3
2021,NOV_21,NEOHYCOLEX DROP 5ML,RX,ANTI_INFECTION_EYE_EAR,5,13.5,19,67.5,95,27.5,28.9
2021,NOV_21,NESBEN SUSP 20ML,RX,ANTI_INFECTION,2,3.98,5.5,7.96,11,3.04,27.6
2021,NOV_21,NESBEN SUSP 20ML,RX,ANTI_INFECTION,3,3.98,5.5,11.94,16.5,4.56,27.6
2021,NOV_21,NESBEN TABS,RX,ANTI_INFECTION,2,3.5,5,7,10,3,30
2021,NOV_21,NESTRIM TABS 480MG ECL,RX,ANTI_INFECTION,20,0.08,0.12,1.6,2.4,0.8,33.3
2021,NOV_21,NEUROZAN TABS,OTC,VITAMINS,1,85,115,85,115,30,26.1
2021,NOV_21,NEXCOFER 30 CAPS ECL,OTC,VITAMINS,2,5.59,8,11.18,16,4.82,30.1
2021,NOV_21,NEXCOFER SYR 200ML,OTC,VITAMINS,2,6.98,10,13.96,20,6.04,30.2
2021,NOV_21,NIFE DENK TABS 10MG,RX,CARDIO,40,0.33,0.35,13.3,14,0.7,5
2021,NOV_21,NIZORAL CREAM 15G,OTC,PERSONAL_CARE,2,23.48,34,46.96,68,21.04,30.9
2021,NOV_21,NO 10 LIVER SALT LEMON,OTC,GI_LAX_ANTACID,55,0.48,0.7,26.4,38.5,12.1,31.4
2021,NOV_21,NO 10 LIVER SALT PLAIN,OTC,GI_LAX_ANTACID,12,0.39,0.6,4.64,7.2,2.56,35.6
2021,NOV_21,NO-SPA 40MG 100'S,RX,GI_ANTI_SPASMODIC,2,6.57,9,13.14,18,4.86,27
2021,NOV_21,NUGEL O SUSP 200ML,OTC,GI_HEARTBURN_ANTACID,4,15.91,22.13,63.63,88.5,24.87,28.1
2021,NOV_21,NUGEL SUSP 200ML,OTC,GI_HEARTBURN_ANTACID,2,14.93,21,29.86,42,12.14,28.9
2021,NOV_21,OMEAID 20mg,RX,GI_ACID_REFLUX,7,1.5,2.5,10.5,17.5,7,40
2021,NOV_21,ORS SACHET LOCAL,OTC,ELECTROLYTES,11,0.51,1,5.57,11,5.43,49.4
